1998-05-02 13:42 | 1998-05-04 06:00
no time | no time
no time | no time
1998-11-04 05:48 | 1998-11-08 07:00
1999-09-20 06:00 | 1999-09-23 00:00
1999-10-18 00:24 | 1999-10-22 07:00
2000-04-04 16:37 | 2000-04-07 01:00
2000-05-20 05:36 | 2000-05-24 09:00
2000-07-14 10:48 | 2000-07-16 01:00
2000-08-09 16:48 | 2000-08-12 10:00
2000-09-16 04:14 | 2000-09-18 00:00
2001-03-29 10:14 | 2001-03-31 09:00
2001-04-10 05:24 | 2001-04-12 00:00
no time | no time
2001-11-22 23:12 | 2001-11-24 08:00
2001-11-22 23:12 | 2001-11-24 18:00
2002-05-22 03:24 | 2002-05-23 18:00
2003-05-27 23:50 | 2003-05-30 00:00
2003-10-28 10:36 | 2003-10-30 01:00
2003-10-29 20:48 | 2003-10-30 23:00
2003-11-18 07:36 | 2003-11-20 21:00
2004-07-25 13:48 | 2004-07-27 14:00
2004-11-04 22:00 | 2004-11-08 07:00
2004-11-07 16:00 | 2004-11-10 10:00
2005-01-05 18:12 | 2005-01-08 03:00
2005-01-15 22:36 | 2005-01-18 08:00
2005-01-17 08:24 | 2005-01-18 09:00
2005-05-13 16:57 | 2005-05-15 08:00
2005-08-22 01:36 | 2005-08-24 11:00
no time | no time
2006-12-13 02:24 | 2006-12-15 06:00
2011-08-04 04:30 | 2011-08-06 04:00
2012-03-07 00:23 | 2012-03-09 09:00
2013-09-29 22:00 | 2013-10-02 08:00
2015-03-15 02:29 | 2015-03-17 23:00
2015-06-18 16:51 | 2015-06-23 05:00
2017-09-04 20:33 | 2017-09-08 02:00
2023-04-21 18:32 | 2023-04-24 06:00
2024-05-09 09:04 | 2024-05-11 03:00
